-2.5	9.00243e-05
-2.48	0.000104596
-2.46	0.000121354
-2.44	0.0001406
-2.42	0.000162679
-2.4	0.000187967
-2.38	0.000216905
-2.36	0.000249964
-2.34	0.000287697
-2.32	0.000330693
-2.3	0.000379642
-2.28	0.000435277
-2.26	0.000498451
-2.24	0.000570072
-2.22	0.00065119
-2.2	0.000742921
-2.18	0.000846547
-2.16	0.000963433
-2.14	0.00109514
-2.12	0.00124331
-2.1	0.00140984
-2.08	0.00159673
-2.06	0.00180622
-2.04	0.00204071
-2.02	0.00230288
-2	0.00259559
-1.98	0.002922
-1.96	0.00328551
-1.94	0.00368981
-1.92	0.00413888
-1.9	0.00463705
-1.88	0.00518896
-1.86	0.00579962
-1.84	0.00647437
-1.82	0.007219
-1.8	0.00803963
-1.78	0.00894285
-1.76	0.00993566
-1.74	0.0110255
-1.72	0.0122203
-1.7	0.0135283
-1.68	0.0149586
-1.66	0.0165202
-1.64	0.0182231
-1.62	0.0200776
-1.6	0.0220944
-1.58	0.0242848
-1.56	0.0266604
-1.54	0.0292336
-1.52	0.0320169
-1.5	0.0350233
-1.48	0.0382664
-1.46	0.0417599
-1.44	0.045518
-1.42	0.0495552
-1.4	0.0538861
-1.38	0.0585257
-1.36	0.0634889
-1.34	0.0687911
-1.32	0.0744472
-1.3	0.0804723
-1.28	0.0868815
-1.26	0.0936895
-1.24	0.100911
-1.22	0.108559
-1.2	0.116648
-1.18	0.125191
-1.16	0.1342
-1.14	0.143686
-1.12	0.153661
-1.1	0.164133
-1.08	0.17511
-1.06	0.186601
-1.04	0.19861
-1.02	0.211142
-1	0.224199
-0.98	0.237781
-0.96	0.251888
-0.94	0.266515
-0.92	0.281659
-0.9	0.29731
-0.88	0.313458
-0.86	0.330091
-0.84	0.347195
-0.82	0.364751
-0.8	0.382739
-0.78	0.401137
-0.76	0.41992
-0.74	0.439059
-0.72	0.458525
-0.7	0.478284
-0.68	0.498301
-0.66	0.518539
-0.64	0.538956
-0.62	0.559512
-0.6	0.580162
-0.58	0.600859
-0.56	0.621554
-0.54	0.642199
-0.52	0.662741
-0.5	0.683128
-0.48	0.703305
-0.46	0.723219
-0.44	0.742813
-0.42	0.762032
-0.4	0.78082
-0.38	0.799121
-0.36	0.816879
-0.34	0.834041
-0.32	0.850552
-0.3	0.86636
-0.28	0.881414
-0.26	0.895665
-0.24	0.909065
-0.22	0.92157
-0.2	0.933138
-0.18	0.94373
-0.16	0.953308
-0.14	0.96184
-0.12	0.969296
-0.1	0.975651
-0.08	0.98088
-0.06	0.984967
-0.04	0.987897
-0.02	0.989659
0	0.990247
0.02	0.989659
0.04	0.987897
0.06	0.984967
0.08	0.98088
0.1	0.975651
0.12	0.969296
0.14	0.96184
0.16	0.953308
0.18	0.94373
0.2	0.933138
0.22	0.92157
0.24	0.909065
0.26	0.895665
0.28	0.881414
0.3	0.86636
0.32	0.850552
0.34	0.834041
0.36	0.816879
0.38	0.799121
0.4	0.78082
0.42	0.762032
0.44	0.742813
0.46	0.723219
0.48	0.703305
0.5	0.683128
0.52	0.662741
0.54	0.642199
0.56	0.621554
0.58	0.600859
0.6	0.580162
0.62	0.559512
0.64	0.538956
0.66	0.518539
0.68	0.498301
0.7	0.478284
0.72	0.458525
0.74	0.439059
0.76	0.41992
0.78	0.401137
0.8	0.382739
0.82	0.364751
0.84	0.347195
0.86	0.330091
0.88	0.313458
0.9	0.29731
0.92	0.281659
0.94	0.266515
0.96	0.251888
0.98	0.237781
1	0.224199
1.02	0.211142
1.04	0.19861
1.06	0.186601
1.08	0.17511
1.1	0.164133
1.12	0.153661
1.14	0.143686
1.16	0.1342
1.18	0.125191
1.2	0.116648
1.22	0.108559
1.24	0.100911
1.26	0.0936895
1.28	0.0868815
1.3	0.0804723
1.32	0.0744472
1.34	0.0687911
1.36	0.0634889
1.38	0.0585257
1.4	0.0538861
1.42	0.0495552
1.44	0.045518
1.46	0.0417599
1.48	0.0382664
1.5	0.0350233
1.52	0.0320169
1.54	0.0292336
1.56	0.0266604
1.58	0.0242848
1.6	0.0220944
1.62	0.0200776
1.64	0.0182231
1.66	0.0165202
1.68	0.0149586
1.7	0.0135283
1.72	0.0122203
1.74	0.0110255
1.76	0.00993566
1.78	0.00894285
1.8	0.00803963
1.82	0.007219
1.84	0.00647437
1.86	0.00579962
1.88	0.00518896
1.9	0.00463705
1.92	0.00413888
1.94	0.00368981
1.96	0.00328551
1.98	0.002922
2	0.00259559
2.02	0.00230288
2.04	0.00204071
2.06	0.00180622
2.08	0.00159673
2.1	0.00140984
2.12	0.00124331
2.14	0.00109514
2.16	0.000963433
2.18	0.000846547
2.2	0.000742921
2.22	0.00065119
2.24	0.000570072
2.26	0.000498451
2.28	0.000435277
2.3	0.000379642
2.32	0.000330693
2.34	0.000287697
2.36	0.000249964
2.38	0.000216905
2.4	0.000187967
2.42	0.000162679
2.44	0.0001406
2.46	0.000121354
2.48	0.000104596
2.5	9.00243e-05
